,Question,Right_Answer,Grade,Number,Responses,Number of Question,label
0, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.0,[1],هي سلوك غير أخلاقي يتم عن طريق وسائل الكترونية يهدف الى عائدات مادية  و يسبب اضرارا للضحية,1,1
1, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,5.0,[2],هي كل سلوك غير أخلاقي يتم بواسطة الاجهزة الالكترونية ينتج عنها حصول المجرم على فوائد مادية او معنوية مع تحصيل الضحية خسارة مقابلة،  هدفها القرصنة من اجل سرقة او اتلاف المعلومات,1,1
2, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,2.625,[3],هي سلوك غير قانوني يحمل باستعمال الأجهزة الالكترونية لإحداث ضرر مادي او معنوي للضحية,1,1
3, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.0,[4],هي سلوك غير قانوني تستخدم الوسائل الالكترونية ينتج عنها حصول المجرم على أهداف مادية أو معنوية   غالبا يكون هدف هذه الجرائم هي القرصنة أي سرقة و إتلاف المعلومات,1,1
4, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.5,[5],هي كل سلوك غير أخلاقي يتم باستخدام الوسائل الالكترونية (الهاتف، الكمبيوتر..) ، يتمثل في حصول مرتكب الجريمة على ما يريد لتحقيق أهدافه الشخصية بينما يتحمل الضحية و هو المستخدم العقوبة ، تتمثل في سرقة المعلومات مثلا,1,1
5, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,3.75,[6],هي سلوك غير قانوني عبر أجهزة إلكترونية، لأهداف مادية أو معنوية غالبا لإتلاف أو سرقة المعلومات و هي مثلا: النصب و الاحتيال، التعدي الإلكتروني، التجسس وانتهاك الخصوصية,1,1
6, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,4.5,[7],هي سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية، يتم تحميل المجرم منه على فوائد مادية و معنوية، يتحمل الضحية خسارة مقابل ذلك الهدف من الجريمة إتلاف أو سرقة المعلومات.,1,1
7, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,5.0,[8],تتم بواسطة الأجهزة الإلكترونية ينتج عنها حصول المجرم على فوائد مادية و معنوية مع تحميل الضحية خسارة مقابلة. و غالبا ما يكون هدف المجرم القرصنة من أجل سرقة و إتلاف المعلومات .,1,1
8, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,5.0,[9],هي كل سلوك غير قانوني يتم بإستخدام الأجهزة الإلكترونية ينتج عنها حصول المجرم على فوائد مادية و معنوية مع تحميل الضحية خسائر و الهدف منها هو القرصنة من أجل سرقة و إتلاف المعلومات,1,1
9, عرف مصطلح الجريمة الإلكترونية, هي كل سلوك غير قانوني يتم باستخدام الأجهزة الإلكترونية) الهاتف، الكمبيوتر، الانترنت (ينتج عنه حصول المجرم على فوائد مادية أو معنوية مع تحميل الضحية خسارة   وغالبا ما يكون هدف هذه الجرائم هو القرصنة من أجل سرقة أو إتلاف المعلومات وتكون عادة الانترنت أداة لها أو مسرحا لها,5.0,[10],هي سلوك غير قانوني بواسطة استعمال الأجهزة الإلكترونية (الهاتف، الانترنت، الكمبيوتر) الهدف منها الحصول على فائدة مادية أو معنوية مقابل دفع الضحية خسائر و تكون من أجل الحصول على المعلومات و قرصنتها و إتلافها. تلف الجرائم الإلكترونية خسائر تعد بالملايين لأصحاب الشركات و المنشأة كما أن أغلب جرائم,1,1
